    时间	    开度值	      蜗壳压力	      尾水管压力	    流量	      转速	      出力	  单位转速	  单位流量	  单位力矩	球阀前压力	球阀后压力	蜗壳进口压力	尾水管出口压力
   0.000	   0.883	       496.798	        64.200	    81.324	   428.600	   306.065	    87.838	     0.225	    22.340	421.354739	420.753579	496.798437	2339.833435
   0.200	   0.883	       505.980	        64.894	    81.330	   428.600	   306.123	    87.833	     0.225	    22.342	420.923796	420.923520	505.830776	2340.619615
   0.400	   0.883	       506.614	        65.133	    81.379	   428.600	   306.591	    87.795	     0.225	    22.356	422.184810	422.184342	506.801515	2341.282572
   0.600	   0.883	       508.465	        66.381	    81.455	   428.601	   307.308	    87.736	     0.225	    22.378	424.028569	424.027616	508.632870	2342.010559
   0.800	   0.883	       509.863	        66.830	    81.573	   428.601	   308.435	    87.644	     0.225	    22.413	425.453063	425.451153	510.057156	2342.809866
   1.000	   0.883	       512.408	        67.731	    81.778	   428.601	   310.391	    87.484	     0.225	    22.473	427.301967	427.299801	511.994895	2343.417916
   1.200	   0.883	       513.339	        67.461	    81.928	   428.601	   311.820	    87.369	     0.225	    22.517	429.251214	429.248737	513.834902	2343.255619
   1.400	   0.883	       516.211	        67.450	    82.285	   428.601	   315.252	    87.093	     0.226	    22.621	432.234076	432.231206	516.438133	2343.392498
   1.600	   0.883	       518.182	        67.296	    82.549	   428.601	   317.786	    86.891	     0.226	    22.697	434.286387	434.283034	518.741455	2342.857536
   1.800	   0.883	       520.632	        66.649	    82.931	   428.602	   321.482	    86.599	     0.226	    22.808	437.734547	437.730607	522.142882	2343.733438
   2.000	   0.883	       522.854	        67.339	    83.120	   428.602	   323.312	    86.456	     0.226	    22.862	438.558883	438.554297	523.033109	2343.780697
   2.200	   0.883	       523.738	        66.495	    83.332	   428.602	   325.377	    86.295	     0.226	    22.922	439.835258	439.829862	524.160931	2343.007029
   2.400	   0.883	       525.859	        66.542	    83.587	   428.602	   327.859	    86.104	     0.227	    22.995	441.601625	441.595185	526.199361	2343.288170
   2.600	   0.883	       525.334	        63.692	    83.871	   428.602	   330.644	    85.890	     0.227	    23.075	440.120050	440.112250	525.923641	2342.502251
   2.800	   0.883	       528.733	        65.326	    84.086	   428.602	   332.752	    85.730	     0.227	    23.135	444.894479	444.884831	529.520885	2342.271366
   3.000	   0.883	       530.438	        65.637	    84.250	   428.602	   334.379	    85.603	     0.227	    23.180	446.067492	446.056651	531.001393	2342.941468
   3.200	   0.883	       532.486	        65.580	    84.498	   428.603	   336.835	    85.413	     0.227	    23.246	448.372720	448.360499	532.991076	2342.599867
   3.400	   0.883	       534.340	        66.004	    84.666	   428.603	   338.504	    85.284	     0.227	    23.291	448.489995	448.476131	531.455956	2343.639895
   3.600	   0.883	       538.838	        67.027	    85.073	   428.603	   342.566	    84.975	     0.228	    23.400	453.641666	453.625773	538.539959	2343.710433
   3.800	   0.883	       540.097	        66.069	    85.332	   428.603	   345.161	    84.779	     0.228	    23.468	456.484913	456.466541	540.816723	2343.796683
   4.000	   0.883	       543.899	        66.776	    85.693	   428.603	   348.786	    84.507	     0.228	    23.563	459.949602	459.928147	544.252832	2344.519114
   4.200	   0.883	       547.431	        67.192	    86.054	   428.604	   352.439	    84.237	     0.228	    23.658	463.740763	463.715401	547.821230	2344.783304
   4.400	   0.883	       549.735	        66.251	    86.430	   428.604	   356.248	    83.958	     0.229	    23.756	466.877096	466.846652	550.552536	2344.424896
   4.600	   0.883	       552.794	        66.320	    86.775	   428.604	   359.763	    83.704	     0.229	    23.845	468.941049	468.903954	553.204894	2344.621912
   4.800	   0.883	       555.196	        65.427	    87.154	   428.604	   363.640	    83.426	     0.229	    23.942	471.428352	471.382225	555.527360	2343.915402
   5.000	   0.883	       556.957	        64.743	    87.434	   428.604	   366.521	    83.222	     0.229	    24.014	473.124826	473.066183	556.702649	2343.134800
   5.200	   0.883	       557.880	        63.303	    87.704	   428.604	   369.306	    83.026	     0.229	    24.082	474.588082	474.511133	558.996579	2343.314823
   5.400	   0.883	       559.985	        63.460	    87.926	   428.605	   371.605	    82.865	     0.229	    24.138	476.040981	475.945013	560.676114	2342.738208
   5.600	   0.883	       560.732	        63.153	    88.045	   428.605	   372.849	    82.778	     0.230	    24.169	476.581192	476.464958	561.046258	2342.378612
   5.800	   0.883	       562.501	        63.444	    88.213	   428.605	   374.593	    82.658	     0.230	    24.211	477.251827	477.108368	562.152636	2342.601130
   6.000	   0.883	       560.932	        62.135	    88.183	   428.605	   374.286	    82.679	     0.230	    24.204	477.062113	476.880583	561.849596	2341.720120
   6.200	   0.883	       565.147	        61.495	    88.132	   438.836	   378.539	    84.220	     0.228	    23.664	479.581521	479.345728	564.610780	2340.801842
   6.400	   0.879	       567.522	        59.739	    87.764	   448.909	   380.852	    85.765	     0.226	    23.066	482.118280	481.801251	566.882550	2339.342664
   6.600	   0.875	       569.292	        57.218	    87.349	   458.811	   382.375	    87.250	     0.224	    22.448	484.309309	483.859782	568.726946	2336.660604
   6.800	   0.871	       572.371	        56.659	    86.829	   468.511	   382.283	    88.738	     0.222	    21.802	487.357053	486.669013	571.401869	2335.607404
   7.000	   0.867	       576.804	        56.653	    86.360	   478.023	   382.284	    90.110	     0.220	    21.166	490.348393	489.157021	574.490058	2334.808615
